4,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,D,D,H,H,H,H,H
9,D,D,D,D,D,H,H,H,H,H
10,D,D,D,D,D,D,D,D,H,H
11,D,D,D,D,D,D,D,D,D,D
12,H,H,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,H,R
16,S,S,S,S,S,H,H,H,R,R
17,S,S,S,S,S,S,S,S,S,RS
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
A2,H,H,D,D,D,H,H,H,H,H
A3,H,H,D,D,D,H,H,H,H,H
A4,H,H,D,D,D,H,H,H,H,H
A5,H,H,D,D,D,H,H,H,H,H
A6,D,D,D,D,D,H,H,H,H,H
A7,S,DS,DS,DS,DS,S,S,H,H,H
A8,S,S,S,S,DS,S,S,S,S,S
A9,S,S,S,S,S,S,S,S,S,S
A10,S,S,S,S,S,S,S,S,S,S
D2,PD,P,P,P,P,P,H,H,H,H
D3,PD,PD,P,P,P,P,PD,H,H,H
D4,H,H,PD,PD,PD,H,H,H,H,H
D5,D,D,D,D,D,D,D,D,H,H
D6,P,P,P,P,P,PD,H,H,H,H
D7,P,P,P,P,P,P,PD,H,PD,H
D8,P,P,P,P,P,P,P,P,P,P
D9,P,P,P,P,P,S,P,P,S,S
D10,S,S,S,S,S,S,S,S,S,S
DA,P,P,P,P,P,P,P,P,P,P
DealerUpCard:,2,3,4,5,6,7,8,9,10,A
